epochs,loss,validation_loss
0,0.20540141712753532,0.1329281405894617
1,0.11053786338798977,0.09611728367526916
2,0.09431262166136653,0.09146476716212801
3,0.08433588250062807,0.0775683356271918
4,0.07724077008008996,0.07221215145335984
5,0.07256476174568405,0.06898989572796761
6,0.06859933383857889,0.06837052067172077
7,0.06579298089664475,0.06338836600041745
8,0.06292686880361148,0.0621013306678707
9,0.06020660129566773,0.05902824808180947
10,0.057829474934642126,0.05704990677526999
11,0.05567550623961863,0.054239207155413645
12,0.05371967696036082,0.053148888422758715
13,0.051919412163369864,0.051573500873570044
14,0.050569562948228765,0.0499529067559204
15,0.049373496433498816,0.05153381692636054
16,0.04819071584368673,0.04810813211868992
17,0.04727358616630178,0.04779373898351179
18,0.04604144138002224,0.04561819144677187
19,0.045178081867086134,0.044994505540492336
20,0.04420927444781827,0.04511988954351871
21,0.04320125456437551,0.043662255890198044
22,0.04258580195163351,0.04393378917430821
23,0.041635458293959794,0.04174554728415346
24,0.04068347926065448,0.0405307588320042
25,0.03989595093873735,0.040976669022734495
26,0.039179467381333696,0.039482136797864005
27,0.03853166107628172,0.04010438862313247
28,0.0378518166111299,0.03774658606770658
29,0.03715374779673936,0.03837297874089984
30,0.03656749475941106,0.03624686654251739
31,0.03586703015075211,0.036814115738831164
32,0.03546158490244922,0.03619258018063311
33,0.035003379138419936,0.03466195662859038
34,0.03435564928041941,0.033908444794933955
35,0.03394580450509747,0.03432046363870576
36,0.0335019933572237,0.033289656136931696
37,0.03296615696875613,0.0332280512331619
38,0.03272385561840574,0.03317949716065757
39,0.032426762952425726,0.033824132586843234
40,0.03203002771433951,0.032369789779442285
41,0.03159202589163856,0.031806660124782435
42,0.031328833003010204,0.030728261034513257
43,0.030902519292634687,0.03140408383364462
44,0.03054145124756436,0.030203261808465574
45,0.030196921678737054,0.030668165739561683
46,0.029958169371143133,0.030508520028298937
47,0.029600306818950865,0.029468541365342996
48,0.029175270662579342,0.030038409920799772
49,0.029068011304288665,0.029141762410157188
50,0.02882753478440538,0.0293268057552912
51,0.028513749425278446,0.030316310421588222
52,0.02817904340066101,0.030004974774683463
53,0.027956225049868104,0.029104953691499885
54,0.027626345543410796,0.027374566311842388
55,0.027379842843686126,0.02760396077204816
56,0.027409686996684692,0.028303745658246785
57,0.02703637461822954,0.027558631699997397
58,0.026791939784863786,0.028312494370228647
59,0.026626765232631924,0.02684920561315336
60,0.026566998314722947,0.02747758340308142
61,0.026307007739619567,0.027064600944484905
62,0.02613326735029257,0.02604392888440504
63,0.02592040393970685,0.02581423134644348
64,0.025797494768482195,0.026509352452959118
65,0.025638920249826266,0.02798123391855077
66,0.02538222620324017,0.026105746067847036
67,0.025216219470874913,0.025604090236238324
68,0.025119995919510474,0.02550016549700724
69,0.024915764480280864,0.025274028180152144
70,0.024805150194337915,0.024347751899563706
71,0.02453075037062129,0.026208656175405572
72,0.024423859282319046,0.024242302176690867
73,0.024253073388495534,0.024038338754219426
74,0.024155819785223995,0.025121069335104537
75,0.02401184619672165,0.02404936522838552
76,0.023822702927771427,0.023853116411660272
77,0.023680253812265153,0.023543787602749135
78,0.023557202517620713,0.023268170193913057
79,0.023541108585984283,0.023514675196230343
80,0.02324531255439192,0.023538164313315048
81,0.023131343749640307,0.022883481322601013
82,0.023014025606085828,0.0229670505625071
83,0.022790844311238817,0.022895465890865215
84,0.022785662620404226,0.02348908807822041
85,0.022608895868972054,0.022539735609560966
86,0.022521451618894083,0.022527948755851998
87,0.022370783789439803,0.02221952762693713
88,0.02230156342735673,0.022373507853345635
89,0.022215511714738005,0.022220377662013215
90,0.02203052327259863,0.021878693680591532
91,0.02193981266251802,0.021794760203946974
92,0.021786384302470804,0.021891249237072155
93,0.02175433075437514,0.021487431670032347
94,0.0216411914536897,0.02159022291501363
95,0.021518221968893993,0.021859978981751346
96,0.021431372259366657,0.02194617705511405
97,0.021303854365721905,0.022761610428347144
98,0.02124534704773341,0.02120603858157224
99,0.021196031428405593,0.021420540934575794
